feature,coef,bioma
EV_CE,51.01931171450104,CE
PRE_CE,-13.78732631310866,CE
WAI_CE,-3.2441756812636333,CE
saz_sin,-6.6745599327831755,CE
saz_cos,-9.343390593001251,CE
EV_CE^2,11.135139888682467,CE
EV_CE PRE_CE,7.313813523432526,CE
EV_CE WAI_CE,-15.323033316068848,CE
EV_CE saz_sin,-11.796941365151216,CE
EV_CE saz_cos,-11.410956514729506,CE
PRE_CE^2,1.137747468326201,CE
PRE_CE WAI_CE,-2.1243808593435283,CE
PRE_CE saz_sin,-2.6998567877864557,CE
PRE_CE saz_cos,1.6920834432417917,CE
WAI_CE^2,-4.65762366219207,CE
WAI_CE saz_sin,16.254402589305595,CE
WAI_CE saz_cos,6.893429363404786,CE
saz_sin^2,-3.968559856717288,CE
saz_sin saz_cos,10.691177203301228,CE
saz_cos^2,3.9685598567173277,CE
