ano;mes;bioma;psn_g_c_m2;et_mm;pet_mm;ida;lst_dia_c;precip_mm;area_queimada_ha;oni;fonte
2002;5;Caatinga;76,5227;48,0266;;0,2537;30,6823;31,8;1125,0;0,3;planilha Benfica 2001-2020 corrigida
2002;5;Cerrado;48,2556;38,5915;;0,1705;31,0781;30,29;16550,0;0,3;planilha Benfica 2001-2020 corrigida
2002;5;Mata Atlântica;133,2083;97,2557;;0,586;26,2901;86,96;1425,0;0,3;planilha Benfica 2001-2020 corrigida
2002;6;Caatinga;76,0779;36,7207;;0,2468;28,6059;24,63;325,0;0,45;planilha Benfica 2001-2020 corrigida
2002;6;Cerrado;60,1403;32,4361;;0,1589;29,6406;1,79;20925,0;0,45;planilha Benfica 2001-2020 corrigida
2002;6;Mata Atlântica;120,7572;79,0919;;0,6221;23,7208;97,74;0,0;0,45;planilha Benfica 2001-2020 corrigida
2002;7;Caatinga;68,5914;33,1021;;0,1794;30,5109;18,68;1550,0;0,57;planilha Benfica 2001-2020 corrigida
2002;7;Cerrado;41,4363;25,0067;;0,1125;31,8024;4,06;62475,0;0,57;planilha Benfica 2001-2020 corrigida
2002;7;Mata Atlântica;134,2708;87,654;;0,5684;24,3028;81,25;0,0;0,57;planilha Benfica 2001-2020 corrigida
2002;8;Caatinga;62,0458;29,236;;0,1418;31,9905;16,89;10375,0;0,63;planilha Benfica 2001-2020 corrigida
2002;8;Cerrado;40,3546;23,1854;;0,0944;34,2283;1,34;375725,0;0,63;planilha Benfica 2001-2020 corrigida
2002;8;Mata Atlântica;133,5572;86,9665;;0,5114;25,3027;77,02;47400,0;0,63;planilha Benfica 2001-2020 corrigida
2002;9;Caatinga;56,0487;31,6723;;0,132;36,0341;43,18;52900,0;0,78;planilha Benfica 2001-2020 corrigida
2002;9;Cerrado;25,8219;24,6209;;0,0944;37,1346;45,84;688125,0;0,78;planilha Benfica 2001-2020 corrigida
2002;9;Mata Atlântica;153,3703;100,7991;;0,4892;27,5769;111,77;1675,0;0,78;planilha Benfica 2001-2020 corrigida
2002;10;Caatinga;43,5983;34,3987;;0,1394;38,8237;11,43;40725,0;0,99;planilha Benfica 2001-2020 corrigida
2002;10;Cerrado;14,15;31,193;;0,1219;39,6489;40,93;358525,0;0,99;planilha Benfica 2001-2020 corrigida
2002;10;Mata Atlântica;136,1164;99,6495;;0,4458;31,3575;27,87;14850,0;0,99;planilha Benfica 2001-2020 corrigida
2002;11;Caatinga;63,2278;47,2673;;0,1766;37,992;52,49;14200,0;1,19;planilha Benfica 2001-2020 corrigida
2002;11;Cerrado;48,9093;49,2945;;0,1769;39,1453;100,88;40500,0;1,19;planilha Benfica 2001-2020 corrigida
2002;11;Mata Atlântica;140,0782;106,2869;;0,4362;31,9947;69,14;10700,0;1,19;planilha Benfica 2001-2020 corrigida
2002;12;Caatinga;59,401;52,9437;;0,2484;35,6779;138,35;6100,0;1,08;planilha Benfica 2001-2020 corrigida
2002;12;Cerrado;62,9086;64,2578;;0,3379;32,601;264,13;9900,0;1,08;planilha Benfica 2001-2020 corrigida
2002;12;Mata Atlântica;97,5204;91,1863;;0,4375;32,5806;152,7;33700,0;1,08;planilha Benfica 2001-2020 corrigida
2003;1;Caatinga;88,0533;84,4534;;0,3942;32,6733;102,4454;2325,0;0,9;planilha Benfica 2001-2020 corrigida
2003;1;Cerrado;101,5544;90,6093;;0,4947;31,4833;198,1609;3800,0;0,9;planilha Benfica 2001-2020 corrigida
2003;1;Mata Atlântica;110,6001;103,1607;;0,4998;32,3567;77,5217;5475,0;0,9;planilha Benfica 2001-2020 corrigida
2003;2;Caatinga;108,3954;87,7852;;0,3536;31,1875;37,271;4025,0;0,59;planilha Benfica 2001-2020 corrigida
2003;2;Cerrado;138,1667;109,2611;;0,4653;31,5175;138,6802;9025,0;0,59;planilha Benfica 2001-2020 corrigida
2003;2;Mata Atlântica;137,0599;102,9978;;0,4335;30,935;56,0479;6475,0;0,59;planilha Benfica 2001-2020 corrigida
