ano,mes,bioma,planilha,gee_v61,dif,dif_pct
2012,2,Cerrado,130.44234665773487,130.6141,0.172,0.13
2012,2,Caatinga,94.82720213438012,95.0749,0.248,0.26
2013,2,Mata Atlântica,143.63438327595978,144.329,0.695,0.48
2013,2,Cerrado,157.88547942220347,157.7052,-0.18,-0.11
2013,2,Caatinga,117.63197501289983,117.3633,-0.269,-0.23
2014,2,Mata Atlântica,175.8001877329797,176.6407,0.841,0.48
2014,2,Cerrado,144.70445352870317,143.4264,-1.278,-0.88
2014,2,Caatinga,126.26682421745024,125.5599,-0.707,-0.56
2015,2,Mata Atlântica,125.48709865811396,126.1687,0.682,0.54
2015,2,Cerrado,128.8965127611192,129.2754,0.379,0.29
2015,2,Caatinga,96.10156666682741,95.7949,-0.307,-0.32
2016,2,Mata Atlântica,149.10569347483337,149.5746,0.469,0.31
2016,2,Cerrado,166.40370535525125,165.8256,-0.578,-0.35
2016,2,Caatinga,157.94417855782262,157.5103,-0.434,-0.27
2017,2,Mata Atlântica,124.35160401833384,125.3509,0.999,0.8
2017,2,Cerrado,129.89545345404727,129.6465,-0.249,-0.19
2017,2,Caatinga,80.57724728380119,80.2987,-0.279,-0.35
2018,2,Mata Atlântica,132.60358022597347,133.56,0.956,0.72
2018,2,Cerrado,140.53138212333565,140.454,-0.077,-0.05
2018,2,Caatinga,106.61185699749718,106.9772,0.365,0.34
2019,2,Mata Atlântica,115.04874619811805,115.9743,0.926,0.8
2019,2,Cerrado,131.20831324012775,131.0066,-0.202,-0.15
2019,2,Caatinga,78.5974635549533,78.3853,-0.212,-0.27
2020,2,Mata Atlântica,133.74530050768857,134.5566,0.811,0.61
2020,2,Cerrado,133.0095055154588,133.008,-0.002,-0.0
2020,2,Caatinga,130.15087417477227,130.0876,-0.063,-0.05
2001,3,Mata Atlântica,125.17548619757837,126.124,0.949,0.76
2001,3,Cerrado,99.9635819582491,100.2236,0.26,0.26
2001,3,Caatinga,93.80346904748187,94.112,0.309,0.33
2002,3,Mata Atlântica,157.43123537552378,158.6779,1.247,0.79
2002,3,Cerrado,69.81175167370856,69.8906,0.079,0.11
2002,3,Caatinga,96.52453837659019,96.7163,0.192,0.2
2003,3,Mata Atlântica,116.32189359376896,117.1388,0.817,0.7
2003,3,Cerrado,112.56827278120119,112.8005,0.232,0.21
