ano,mes,bioma,psn_g_c_m2,et_mm,pet_mm,ida,lst_dia_c,precip_mm,area_queimada_ha,oni
2015,11,Caatinga,34.9405,31.5804,245.2661,0.1288,41.2404,48.6925,44150.0,2.45
2015,11,Cerrado,62.0924,63.9809,204.676,0.3126,39.4252,147.2506,98725.0,2.45
2015,11,Mata Atlântica,89.8696,88.2031,223.1886,0.3952,35.9891,30.2997,24200.0,2.45
2015,12,Caatinga,39.0103,32.0506,230.3634,0.1391,39.1485,11.8397,37450.0,2.59
2015,12,Cerrado,68.2959,54.6136,220.4763,0.2477,37.9061,38.0133,69100.0,2.59
2015,12,Mata Atlântica,95.5194,76.7749,213.2743,0.36,35.2071,19.573,64425.0,2.59
2016,1,Caatinga,63.2525,67.1889,168.8338,0.398,33.8029,393.7822,2100.0,2.5
2016,1,Cerrado,76.7508,86.111,149.7616,0.575,31.5074,463.2875,10300.0,2.5
2016,1,Mata Atlântica,78.9811,83.3241,171.4278,0.4861,33.2847,250.4824,3675.0,2.5
2016,2,Caatinga,157.5103,114.262,238.8569,0.4784,30.462,25.4153,575.0,2.21
2016,2,Cerrado,165.8256,121.1851,230.2847,0.5262,31.7067,33.2508,5275.0,2.21
2016,2,Mata Atlântica,149.5746,120.9107,246.3683,0.4908,28.7887,27.3049,5700.0,2.21
2016,3,Caatinga,103.4657,83.9557,242.8176,0.3458,32.6767,11.3582,0.0,1.69
2016,3,Cerrado,119.5662,100.1438,230.9094,0.4337,33.1462,71.5822,6925.0,1.69
2016,3,Mata Atlântica,122.0626,98.2856,235.3253,0.4177,31.6415,34.2647,1275.0,1.69
2016,4,Caatinga,69.8612,57.3143,216.2683,0.265,32.7325,9.3557,1150.0,1.11
2016,4,Cerrado,82.9952,67.6719,212.6808,0.3182,33.4964,9.0183,16000.0,1.11
2016,4,Mata Atlântica,105.8757,86.4544,198.9214,0.4346,30.8004,29.958,1475.0,1.11
2016,5,Caatinga,62.6946,42.7608,187.2839,0.2283,32.1502,23.9192,25.0,0.57
2016,5,Cerrado,69.1521,47.1372,192.1813,0.2453,32.8428,1.9023,5475.0,0.57
2016,5,Mata Atlântica,100.2105,80.4783,159.3375,0.5051,29.2782,58.2159,3150.0,0.57
2016,6,Caatinga,69.5138,38.7157,175.2312,0.2209,30.4338,14.6735,100.0,0.09
2016,6,Cerrado,68.3225,37.7331,185.6417,0.2033,31.3042,3.8032,19525.0,0.09
2016,6,Mata Atlântica,99.5596,76.8554,140.0084,0.5489,26.9005,49.7753,1375.0,0.09
2016,7,Caatinga,74.9347,33.3423,184.2054,0.181,30.3833,10.0707,775.0,-0.19
2016,7,Cerrado,64.0901,28.224,203.2872,0.1388,32.8994,0.7077,16050.0,-0.19
2016,7,Mata Atlântica,128.0572,83.1351,146.4629,0.5676,25.6911,55.5738,150.0,-0.19
2016,8,Caatinga,59.0244,28.081,211.2105,0.133,33.9042,14.1381,17325.0,-0.34
2016,8,Cerrado,37.2234,21.3073,234.9578,0.0907,36.6177,1.6027,60850.0,-0.34
2016,8,Mata Atlântica,136.6128,85.623,171.1305,0.5003,27.1197,52.932,425.0,-0.34
2016,9,Caatinga,49.5537,27.4056,232.9395,0.1177,37.3382,20.0241,44175.0,-0.42
2016,9,Cerrado,29.6144,25.6978,234.952,0.1094,39.4401,26.8896,135075.0,-0.42
2016,9,Mata Atlântica,134.193,90.1374,199.243,0.4524,30.255,56.0375,825.0,-0.42
2016,10,Caatinga,56.8705,34.3123,250.9197,0.1367,37.9446,40.754,22850.0,-0.51
2016,10,Cerrado,48.8804,39.4456,256.777,0.1536,40.385,70.515,50125.0,-0.51
2016,10,Mata Atlântica,144.9246,104.3468,230.7271,0.4523,29.6761,95.4437,650.0,-0.51
2016,11,Caatinga,79.8769,64.8119,220.4231,0.294,37.5567,94.694,7225.0,-0.49
2016,11,Cerrado,94.4085,86.1939,186.0854,0.4632,36.6706,163.4222,46200.0,-0.49
2016,11,Mata Atlântica,122.6866,112.2372,215.3055,0.5213,31.2379,146.4594,725.0,-0.49
2016,12,Caatinga,92.0098,64.9157,218.7791,0.2967,34.7856,46.9646,3550.0,-0.37
2016,12,Cerrado,118.5752,89.5398,192.7953,0.4644,33.4619,110.9241,9150.0,-0.37
2016,12,Mata Atlântica,125.7708,106.431,212.1635,0.5016,30.7134,69.8338,925.0,-0.37
2017,1,Caatinga,73.6047,51.5224,230.9449,0.2231,36.1824,17.8831,4775.0,-0.08
2017,1,Cerrado,102.2788,83.0084,204.8192,0.4053,34.4415,76.1194,2300.0,-0.08
2017,1,Mata Atlântica,131.9101,98.9537,228.9865,0.4321,31.5325,16.3979,975.0,-0.08
2017,2,Caatinga,80.2987,59.8694,217.6078,0.2751,34.2268,78.0821,50.0,0.08
2017,2,Cerrado,129.6465,115.3251,187.5611,0.6149,29.8961,209.0611,2125.0,0.08
2017,2,Mata Atlântica,125.3509,94.1059,228.5957,0.4117,29.8296,95.4935,0.0,0.08
2017,3,Caatinga,88.1497,61.2086,222.8312,0.2747,35.2896,79.9727,1550.0,0.27
2017,3,Cerrado,131.8733,110.4166,201.3782,0.5483,31.2725,150.2258,18525.0,0.27
