ano,mes,bioma,psn_g_c_m2,et_mm,pet_mm,ida,lst_dia_c,precip_mm,area_queimada_ha,oni
2022,9,Cerrado,34.5768,26.0368,247.4626,0.1052,38.4408,22.0176,201750.0,-0.87
2022,9,Mata Atlântica,138.0261,92.3055,205.4075,0.4494,29.1659,35.5644,875.0,-0.87
2022,10,Caatinga,55.3192,36.9364,232.4202,0.1589,,23.0186,125725.0,-0.89
2022,10,Cerrado,51.0076,44.6716,228.6782,0.1953,,40.0382,293375.0,-0.89
2022,10,Mata Atlântica,132.0442,95.2811,212.5949,0.4482,,49.8923,1025.0,-0.89
2022,11,Caatinga,108.3184,92.6661,194.7479,0.4758,29.8601,231.7824,0.0,-0.82
2022,11,Cerrado,101.9811,99.8417,166.3469,0.6002,29.255,308.8036,11475.0,-0.82
2022,11,Mata Atlântica,112.1597,108.4415,175.1424,0.6192,28.5508,252.6554,225.0,-0.82
2022,12,Caatinga,126.3582,103.8672,193.9561,0.5355,28.7419,189.0139,600.0,-0.7
2022,12,Cerrado,110.5428,104.6454,161.1767,0.6493,28.1322,245.5946,4050.0,-0.7
2022,12,Mata Atlântica,125.1141,109.4292,173.2742,0.6315,28.107,257.8547,100.0,-0.7
2023,1,Caatinga,140.7608,106.3529,210.3156,0.5057,28.4161,91.9237,1750.0,-0.55
2023,1,Cerrado,140.8879,117.2748,185.6843,0.6316,28.4793,203.7327,6525.0,-0.55
2023,1,Mata Atlântica,159.6314,122.7509,201.9253,0.6079,27.8484,88.0813,100.0,-0.55
2023,2,Caatinga,137.1435,102.311,247.0045,0.4142,29.8568,25.4505,325.0,-0.33
2023,2,Cerrado,179.1981,136.9073,228.9148,0.5981,29.4767,39.869,14275.0,-0.33
2023,2,Mata Atlântica,175.9883,125.6731,237.8721,0.5283,28.4474,42.346,675.0,-0.33
2023,3,Caatinga,110.6402,81.0754,229.0247,0.354,30.4174,68.3474,1000.0,-0.11
2023,3,Cerrado,140.5427,117.3411,198.8415,0.5901,29.8032,118.3996,18050.0,-0.11
2023,3,Mata Atlântica,162.2011,117.0984,229.6951,0.5098,27.3353,66.318,125.0,-0.11
2023,4,Caatinga,102.5632,76.3607,210.8876,0.3621,29.9958,41.2318,1125.0,0.19
2023,4,Cerrado,136.6678,101.044,196.3873,0.5145,29.9969,62.9802,9125.0,0.19
2023,4,Mata Atlântica,129.2168,114.7308,195.6199,0.5865,27.5542,120.8549,675.0,0.19
2023,5,Caatinga,100.8068,66.5668,178.0639,0.3738,28.2998,51.8771,1525.0,0.46
