ano,mes,bioma,psn_g_c_m2_planilha,ida_planilha,et_mm_planilha,precip_mm_planilha,lst_dia_c_planilha,area_queimada_ha_planilha,psn_g_c_m2_gee,et_mm_gee,pet_mm,ida_gee,lst_dia_c_gee,precip_mm_gee,precip_v06_mm,area_queimada_ha_gee,oni
2012,1,Mata Atlântica,132.5033,0.5036,96.8113,49.9,29.1133,975,133.5525,100.5737,200.6547,0.5012,28.9298,44.3253,51.1177,700,-0.71
2012,1,Cerrado,112.1602,0.5791,99.7226,190.0,29.5567,6450,112.1462,98.9864,168.4281,0.5877,29.9454,171.6203,192.9314,6525,-0.71
2012,1,Caatinga,83.5427,0.306,64.5227,37.42,31.9233,7250,83.6962,62.7872,202.7306,0.3097,32.7312,36.7118,38.3489,7525,-0.71
2013,1,Mata Atlântica,114.9082,0.4504,90.3613,122.11,32.3333,4525,115.5995,94.2037,204.5702,0.4605,31.7517,136.2537,123.1097,4350,-0.24
2013,1,Cerrado,103.3536,0.4872,86.6894,310.51,32.4167,1800,103.1194,90.8317,180.5714,0.503,33.3396,288.8224,312.3359,2300,-0.24
2013,1,Caatinga,72.9151,0.2866,58.9357,139.27,35.6733,4450,72.4909,58.3547,198.8994,0.2934,35.8141,138.46,140.9719,4075,-0.24
2014,1,Mata Atlântica,167.0104,0.5685,124.3078,56.71,30.5833,375,167.9127,121.1679,209.7055,0.5778,28.7202,57.83,57.7975,375,-0.24
2014,1,Cerrado,139.3065,0.5502,112.3337,59.63,32.9233,3575,139.1113,104.9821,185.0231,0.5674,31.8761,59.4353,60.9742,4225,-0.24
2014,1,Caatinga,134.6564,0.4331,96.7676,14.74,31.9667,800,134.524,91.6931,206.9217,0.4431,31.563,14.6726,14.8118,800,-0.24
2015,1,Mata Atlântica,142.7573,0.453,106.9914,33.18,31.7586,2225,143.8444,102.9668,219.9224,0.4682,29.7603,30.2428,33.588,2325,0.73
2015,1,Cerrado,134.9265,0.4271,100.3992,74.71,34.5933,16500,135.0173,94.1671,212.2114,0.4437,33.7569,72.4417,76.3242,16000,0.73
2015,1,Caatinga,102.3724,0.3415,81.3153,19.55,33.4233,4025,102.2092,77.4935,217.3752,0.3565,32.2755,20.5442,20.1878,4225,0.73
2016,1,Mata Atlântica,79.1786,0.4843,80.559,254.78,33.5167,3550,78.9811,83.3241,171.4278,0.4861,33.2847,250.4732,254.3094,3700,2.5
2016,1,Cerrado,77.0069,0.5609,77.631,488.67,30.54,10100,76.7508,86.111,149.7616,0.575,31.5074,463.3025,489.4608,10300,2.5
2016,1,Caatinga,63.7633,0.3917,62.2706,391.06,33.62,1925,63.2525,67.1889,168.8338,0.398,33.8029,393.7721,395.1411,2100,2.5
2017,1,Mata Atlântica,131.0244,0.4213,102.153,14.29,33.6733,975,131.9101,98.9537,228.9865,0.4321,31.5325,16.3989,14.7582,975,-0.08
2017,1,Cerrado,102.5982,0.3915,87.5746,88.11,34.5133,2250,102.2788,83.0084,204.8192,0.4053,34.4415,76.115,90.2164,2300,-0.08
2017,1,Caatinga,73.998,0.2221,54.1576,17.97,35.94,5200,73.6047,51.5224,230.9449,0.2231,36.1824,17.8815,18.9577,4775,-0.08
2018,1,Mata Atlântica,147.9492,0.4647,114.7907,51.88,31.8233,1400,148.9676,109.2338,226.6513,0.4819,30.4501,50.4286,52.1335,1400,-0.71
2018,1,Cerrado,128.9372,0.4587,105.092,131.57,29.79,25,128.8096,98.5627,206.4154,0.4775,32.48,122.8958,132.5855,25,-0.71
2018,1,Caatinga,77.9109,0.2477,60.4355,61.01,34.63,0,77.7279,57.5447,227.4679,0.253,35.0169,57.465,61.8619,0,-0.71
2019,1,Mata Atlântica,136.4056,0.4461,105.6363,14.62,31.3233,1125,137.5977,102.027,221.1908,0.4613,30.3292,16.783,14.9265,950,0.99
2019,1,Cerrado,125.3466,0.4986,109.4267,37.62,32.2867,7500,124.8368,102.3229,196.79,0.52,31.6453,41.7135,38.66,7400,0.99
2019,1,Caatinga,85.6406,0.2954,69.1896,12.86,33.8433,3275,85.487,65.9002,215.2949,0.3061,33.9063,13.3255,13.0935,3375,0.99
2020,1,Mata Atlântica,111.0858,0.4973,104.666,148.28,30.7623,2250,111.6857,102.116,200.1087,0.5103,30.2785,143.44,149.634,1850,0.71
2020,1,Cerrado,111.2765,0.4898,99.2223,280.53,30.7299,575,111.1953,94.9026,187.7869,0.5054,31.9275,287.8661,280.534,500,0.71
2020,1,Caatinga,79.4768,0.3366,69.6754,178.62,32.4686,675,79.3289,67.1241,194.3794,0.3453,33.9043,186.7297,180.0854,625,0.71
2001,2,Mata Atlântica,133.4854,0.4434,104.9693,44.28,32.0178,11225,134.8238,107.799,241.1154,0.4471,32.001,43.9831,44.991,12075,-0.54
2001,2,Cerrado,83.9807,0.3224,83.9749,102.81,31.3594,1700,84.1919,82.4445,249.1432,0.3309,31.3417,104.0112,105.2099,1775,-0.54
2001,2,Caatinga,75.4696,0.3068,78.6215,34.95,33.4845,425,75.7057,76.8603,240.687,0.3193,33.4961,36.2043,36.1847,275,-0.54
2002,2,Mata Atlântica,174.1388,0.5485,120.9776,143.3,29.0148,0,175.2254,124.3747,227.338,0.5471,29.021,138.6155,143.8297,0,0.07
2002,2,Cerrado,128.1137,0.4243,106.8802,129.21,29.2245,11000,128.5482,105.0129,236.7765,0.4435,29.2116,119.541,129.0701,10475,0.07
2002,2,Caatinga,150.7345,0.506,129.0055,108.2,29.3099,200,150.7544,125.9368,241.0419,0.5225,29.3091,100.7212,107.9588,100,0.07
2003,2,Mata Atlântica,137.0599,0.4335,102.9978,56.0479,30.935,6475,138.167,102.7038,233.7687,0.4393,29.7679,53.9175,57.0562,6000,0.59
2003,2,Cerrado,138.1667,0.4653,109.2611,138.6802,31.5175,9025,138.6714,105.303,217.1459,0.4849,30.8018,113.7204,141.8734,9300,0.59
2003,2,Caatinga,108.3954,0.3536,87.7852,37.271,31.1875,4025,108.6097,84.9794,231.5122,0.3671,31.0593,32.491,38.1669,4350,0.59
2004,2,Mata Atlântica,168.3671,0.5961,128.5803,151.38,29.7575,2150,169.6719,132.4431,222.7216,0.5947,28.1781,128.0952,151.9336,1950,0.27
2004,2,Cerrado,140.3181,0.6366,115.6979,245.3,29.1875,350,140.65,122.0783,191.0337,0.639,28.1564,254.7021,246.5536,425,0.27
2004,2,Caatinga,167.1746,0.5694,130.8961,134.67,29.01,625,167.6231,130.9172,224.6714,0.5827,28.2491,129.9107,135.353,650,0.27
2005,2,Mata Atlântica,141.6261,0.5653,125.7583,192.78,31.945,350,142.454,123.3848,215.9972,0.5712,31.2282,187.8361,193.6376,400,0.55
2005,2,Cerrado,145.5368,0.5808,130.9748,244.18,29.5632,1000,145.6418,124.7237,210.3637,0.5929,29.1082,219.4821,245.6318,1000,0.55
2005,2,Caatinga,120.0845,0.4507,109.5004,177.15,31.0225,0,120.1886,104.5103,223.6065,0.4674,30.7817,174.0509,178.2309,0,0.55
2006,2,Mata Atlântica,128.05,0.4048,105.7895,35.24,32.5925,9550,129.0758,102.1178,244.5318,0.4176,31.4541,34.7474,35.9443,9650,-0.8
2006,2,Cerrado,115.0736,0.5263,108.258,157.68,31.32,1475,115.1121,106.8342,199.8769,0.5345,30.6598,140.4241,159.5291,1600,-0.8
2006,2,Caatinga,81.3846,0.277,69.3933,80.27,33.8775,4250,81.4492,66.9159,237.0995,0.2822,33.8705,80.4468,81.9941,4050,-0.8
2007,2,Mata Atlântica,123.7807,0.5239,108.8386,271.97,30.3125,75,124.5262,110.8361,209.0768,0.5301,29.4402,264.1623,273.3436,75,0.19
2007,2,Cerrado,118.7659,0.548,111.3888,284.28,30.15,3550,118.8389,107.9109,192.3254,0.5611,29.5508,271.6575,285.1917,3325,0.19
2007,2,Caatinga,85.9671,0.3646,80.3509,286.11,30.85,275,86.028,79.7785,212.9239,0.3747,30.9326,273.8638,287.754,250,0.19
2008,2,Mata Atlântica,141.4098,0.4728,115.573,116.73,31.4725,525,142.4223,112.3508,231.2121,0.4859,30.4551,119.1784,117.1026,600,-1.61
2008,2,Cerrado,119.5114,0.511,107.384,151.73,31.475,4125,119.5116,103.2056,196.3617,0.5256,30.9499,183.7819,153.4252,3900,-1.61
2008,2,Caatinga,97.4394,0.3204,80.1431,113.05,33.2725,1050,97.4223,76.4301,231.9401,0.3295,33.3454,120.1203,113.9396,850,-1.61
2009,2,Mata Atlântica,157.7448,0.4935,121.1622,46.74,31.54,600,158.8439,118.5431,236.0503,0.5022,29.259,67.3886,47.385,550,-0.84
2009,2,Cerrado,150.2021,0.5786,129.5828,96.81,30.5625,1300,149.9456,123.0986,207.6937,0.5927,29.3608,113.5308,97.9054,1275,-0.84
2009,2,Caatinga,129.0292,0.3987,98.9197,78.47,31.6975,975,129.053,95.0278,230.549,0.4122,31.3173,79.1643,79.5703,1050,-0.84
2010,2,Mata Atlântica,114.4203,0.4211,91.365,57.52,33.84,6175,115.4587,92.6712,217.8071,0.4255,31.7969,60.8981,58.6461,6000,1.21
2010,2,Cerrado,143.4659,0.5156,124.5836,81.77,31.1125,9200,143.5368,116.8024,221.4893,0.5273,30.7821,100.5461,82.9734,8325,1.21
2010,2,Caatinga,88.3058,0.2979,71.5093,38.35,33.8825,1125,88.412,69.5009,225.0972,0.3088,33.7713,45.0061,38.8712,1100,1.21
2011,2,Mata Atlântica,146.2805,0.4793,114.5106,39.47,30.8175,1950,147.4852,113.6687,233.6612,0.4865,28.8553,54.8229,40.1758,1750,-1.06
2011,2,Cerrado,136.5406,0.6267,128.7376,180.37,30.2475,3050,136.6786,122.9765,192.8369,0.6377,29.3921,162.1744,183.5137,3075,-1.06
2011,2,Caatinga,120.5256,0.418,89.5532,86.45,31.2375,1600,120.8856,90.143,215.7411,0.4178,31.0542,83.1237,88.7147,1650,-1.06
2012,2,Mata Atlântica,149.0359,0.4482,105.4396,57.6,31.46,3125,150.313,104.8394,230.1948,0.4554,29.4981,61.005,58.2295,2875,-0.56
2012,2,Cerrado,130.4423,0.5625,116.9963,87.52,30.34,9950,130.6141,110.9681,192.1975,0.5774,29.727,81.4656,89.3805,9425,-0.56
2012,2,Caatinga,94.8272,0.2968,66.5937,66.88,31.9733,1150,95.0749,65.4697,217.1067,0.3016,32.5652,61.6571,67.6594,1325,-0.56
2013,2,Mata Atlântica,143.6344,0.4466,110.4645,44.44,32.2075,5525,144.329,107.6866,235.2485,0.4578,30.4987,46.4835,45.1524,5150,-0.28
2013,2,Cerrado,157.8855,0.5326,132.5904,56.14,31.8975,13500,157.7052,124.4588,225.4682,0.552,31.5502,47.4404,57.2669,12050,-0.28
2013,2,Caatinga,117.632,0.3149,82.8561,11.88,33.555,2125,117.3633,78.7077,241.3055,0.3262,33.6619,13.2522,12.1135,2025,-0.28
2014,2,Mata Atlântica,175.8002,0.5186,126.0371,81.6,29.9825,150,176.6407,122.6145,233.6379,0.5248,28.696,79.569,83.097,175,-0.21
2014,2,Cerrado,144.7045,0.5668,117.7625,104.01,30.805,2425,143.4264,112.9835,195.8355,0.5769,30.266,100.427,105.3293,2475,-0.21
