ano,mes,bioma,psn_g_c_m2_planilha,ida_planilha,et_mm_planilha,precip_mm_planilha,lst_dia_c_planilha,area_queimada_ha_planilha,psn_g_c_m2_gee,et_mm_gee,pet_mm,ida_gee,lst_dia_c_gee,precip_mm_gee,precip_v06_mm,area_queimada_ha_gee,oni
2016,3,Cerrado,120.1762,0.4192,106.7799,73.77,32.865,6475,119.5662,100.1438,230.9094,0.4337,33.1462,71.5737,74.986,6925,1.69
2016,3,Caatinga,103.8888,0.3408,87.3378,13.15,32.7975,0,103.4657,83.9557,242.8176,0.3458,32.6767,11.358,13.625,0,1.69
2017,3,Mata Atlântica,110.5155,0.4401,100.92,121.81,32.07,0,111.2588,98.9608,221.7265,0.4463,30.795,112.6569,123.1862,0,0.27
2017,3,Cerrado,132.4033,0.5374,116.8571,140.19,31.605,17450,131.8733,110.4166,201.3782,0.5483,31.2725,150.2215,141.3409,18525,0.27
2017,3,Caatinga,88.6326,0.2727,64.159,72.62,34.8125,1450,88.1497,61.2086,222.8312,0.2747,35.2896,79.9697,73.1267,1550,0.27
2018,3,Mata Atlântica,128.7107,0.5488,118.7692,115.23,30.2075,1225,129.3485,116.204,208.879,0.5563,29.3858,99.9359,115.7506,1150,-0.55
2018,3,Cerrado,141.6083,0.5988,126.1787,170.84,29.965,24850,141.0566,120.3985,196.6263,0.6123,29.3717,175.5954,172.5087,25225,-0.55
2018,3,Caatinga,131.4366,0.4841,106.8127,113.31,30.54,0,131.402,103.3198,209.5864,0.493,30.6443,114.0076,114.2674,0,-0.55
2019,3,Mata Atlântica,90.2379,0.4403,96.7154,128.65,32.285,11550,90.4925,93.0375,204.9091,0.454,31.7951,130.5505,129.0941,11675,0.87
2019,3,Cerrado,125.0221,0.605,125.3205,239.46,30.11,8550,124.3213,118.1333,191.4179,0.6171,30.057,253.6315,240.4549,8050,0.87
2019,3,Caatinga,92.961,0.3476,81.3743,145.1,32.8125,525,92.5266,77.5376,218.0915,0.3555,33.1451,143.6651,145.8423,475,0.87
2020,3,Mata Atlântica,112.4126,0.5766,111.9528,194.14,28.1661,550,112.9185,114.1231,196.7498,0.58,28.9909,190.8722,195.6557,575,0.57
2020,3,Cerrado,116.3626,0.668,111.2883,272.44,27.1946,53275,116.3478,116.3762,174.4388,0.6671,28.487,279.5098,271.986,48450,0.57
2020,3,Caatinga,113.5891,0.5419,107.0226,196.88,28.8436,400,113.545,107.5502,197.1445,0.5455,29.7582,205.3533,198.1042,300,0.57
2001,4,Mata Atlântica,134.0681,0.5786,111.5411,75.49,27.8595,0,134.8856,115.5542,201.6987,0.5729,27.8492,79.9706,77.017,0,-0.29
2001,4,Cerrado,82.8587,0.2976,72.8252,40.55,30.7817,14775,82.8162,69.7852,227.4796,0.3068,30.7771,38.3146,41.5876,15875,-0.29
2001,4,Caatinga,88.8666,0.3165,68.3464,24.82,31.6978,450,88.9669,68.5096,216.0492,0.3171,31.7033,28.2157,24.9006,125,-0.29
2002,4,Mata Atlântica,147.6852,0.5843,102.4368,74.05,27.4082,0,148.6969,112.4202,198.4376,0.5665,27.3975,74.8581,75.8481,0,0.15
2002,4,Cerrado,82.3594,0.2855,68.3233,48.72,30.7207,3100,82.1981,65.5489,223.4233,0.2934,30.7058,54.2731,49.7438,3525,0.15
2002,4,Caatinga,89.8433,0.3338,67.4175,27.68,30.9775,0,89.8385,69.4812,213.3479,0.3257,30.9749,31.866,28.0291,0,0.15
2003,4,Mata Atlântica,119.8185,0.509,106.1514,96.9518,30.4875,1975,120.6033,101.732,195.1422,0.5213,29.1222,96.6855,99.083,2025,-0.01
2003,4,Cerrado,131.4172,0.4445,98.2123,66.3088,30.175,10200,131.2246,93.8577,203.3912,0.4615,29.9036,72.472,67.2044,12125,-0.01
2003,4,Caatinga,99.2552,0.3312,76.9441,31.52,31.825,1275,99.1833,73.6747,215.5663,0.3418,31.9677,31.5842,31.8107,950,-0.01
2004,4,Mata Atlântica,138.4366,0.6402,116.6995,99.49,27.7675,575,139.2546,116.4958,182.7939,0.6373,26.8264,106.5346,102.6527,600,0.1
2004,4,Cerrado,142.0457,0.5443,117.3252,102.42,29.2625,12900,141.7976,110.6277,195.9663,0.5645,29.181,64.7781,104.2473,11850,0.1
2004,4,Caatinga,135.8916,0.5011,113.7547,22.49,28.7675,1475,135.7719,108.6056,209.5426,0.5183,28.7269,23.9935,22.7835,1325,0.1
2005,4,Mata Atlântica,144.6076,0.6242,125.4794,154.06,27.2025,0,145.3732,121.9773,193.8105,0.6294,26.5794,149.6649,157.1285,0,0.37
2005,4,Cerrado,147.8111,0.5628,120.0517,66.91,29.6115,11275,147.4452,112.7854,195.3454,0.5774,29.2627,74.8304,68.0969,10550,0.37
2005,4,Caatinga,137.8136,0.5135,111.2318,92.168,29.1775,1300,137.6812,107.6311,204.9932,0.525,28.5159,84.6327,92.154,1175,0.37
2006,4,Mata Atlântica,121.5422,0.6662,114.2929,180.2,27.705,0,122.0868,115.3177,173.7956,0.6635,26.7498,151.9419,182.6201,0,-0.45
2006,4,Cerrado,125.1128,0.644,112.4923,183.28,28.4917,6275,124.6658,111.1976,171.4358,0.6486,27.6069,143.2585,185.651,6700,-0.45
2006,4,Caatinga,129.1943,0.6182,114.9309,154.88,27.0975,0,129.0389,114.9525,185.3167,0.6203,27.0978,133.9784,155.7657,0,-0.45
2007,4,Mata Atlântica,127.5115,0.5824,120.3673,104.8,28.3375,0,128.1774,115.8412,192.2731,0.6025,27.2297,141.5967,106.8871,0,-0.32
2007,4,Cerrado,107.0564,0.3564,81.0018,34.58,30.7845,19350,106.4966,76.5558,208.8987,0.3665,30.6129,47.622,34.8086,20425,-0.32
2007,4,Caatinga,89.2494,0.3702,80.2058,49.64,30.655,175,89.0125,77.6268,204.8893,0.3789,29.9652,52.179,49.7508,250,-0.32
2008,4,Mata Atlântica,130.3746,0.5646,121.4581,39.92,29.41,100,131.2094,116.5341,200.0447,0.5825,28.2442,60.6753,40.8048,100,-1.05
2008,4,Cerrado,132.5148,0.5462,110.9205,141.95,28.8575,21675,131.831,106.7008,190.233,0.5609,28.5159,113.8854,143.0518,22600,-1.05
2008,4,Caatinga,139.5168,0.5463,115.4064,91.0,28.53,1475,139.2445,112.6771,201.4763,0.5593,28.2012,90.8982,92.876,1600,-1.05
2009,4,Mata Atlântica,112.1125,0.6312,108.6737,210.59,28.9,125,112.5995,110.6593,177.9421,0.6219,27.8745,200.236,214.1396,50,-0.35
2009,4,Cerrado,105.9172,0.6825,105.7303,237.23,29.075,3225,105.4231,104.9603,152.8953,0.6865,28.372,220.6666,237.4574,3575,-0.35
2009,4,Caatinga,103.9932,0.5201,94.879,181.11,29.73,125,103.7594,95.2406,184.9261,0.515,29.2607,152.4967,182.8861,0,-0.35
2010,4,Mata Atlântica,139.4158,0.6304,126.7151,175.53,27.7525,0,140.2495,123.029,190.7746,0.6449,26.8977,158.9816,179.8588,0,0.38
2010,4,Cerrado,149.0787,0.5538,120.6549,95.68,29.935,25150,148.4581,113.2076,199.9036,0.5663,29.5519,98.3527,96.5293,25125,0.38
2010,4,Caatinga,129.9455,0.4922,106.9301,121.28,29.1125,675,129.875,103.7572,204.6824,0.5069,28.6301,119.6757,121.3658,750,0.38
2011,4,Mata Atlântica,145.6617,0.6181,128.9854,179.32,27.6375,175,146.504,125.6854,199.046,0.6314,26.7022,177.7148,184.139,150,-0.68
2011,4,Cerrado,158.0101,0.6304,132.5735,75.79,28.68,63375,157.6947,124.809,194.0543,0.6432,28.4036,68.6843,76.4468,59575,-0.68
2011,4,Caatinga,147.5885,0.4947,114.3672,57.34,28.7675,250,147.5681,109.0622,212.4656,0.5133,28.6213,62.6105,57.2264,225,-0.68
2012,4,Mata Atlântica,119.692,0.4351,94.6783,12.26,31.29,3000,120.4575,90.5464,201.3316,0.4497,29.9297,10.0676,13.0364,3025,-0.35
2012,4,Cerrado,110.5091,0.3611,83.4711,24.13,32.655,16200,109.9788,79.1058,214.3121,0.3691,32.6712,23.0249,25.3488,16050,-0.35
2012,4,Caatinga,53.6223,0.1581,38.0527,4.64,34.8467,3200,53.3459,36.5666,228.5491,0.16,34.6341,4.326,4.991,3250,-0.35
2013,4,Mata Atlântica,115.6472,0.543,102.929,87.58,29.54,1225,116.0909,102.4894,185.5962,0.5522,28.241,81.9438,89.3233,1425,-0.2
2013,4,Cerrado,124.3222,0.5206,105.7708,110.16,30.36,5475,123.461,99.2852,186.4173,0.5326,29.9862,109.1959,111.4643,6200,-0.2
2013,4,Caatinga,79.4457,0.2989,63.2881,55.83,31.75,425,78.9522,61.0029,202.3505,0.3015,32.1628,58.2271,56.4453,575,-0.2
2014,4,Mata Atlântica,129.0555,0.5307,115.1318,54.74,28.86,575,129.6018,108.884,200.1536,0.544,28.4163,61.1323,55.4327,475,0.25
2014,4,Cerrado,138.7966,0.5499,118.1395,96.42,30.3425,13725,137.5954,110.3993,196.7434,0.5611,29.7977,92.7639,97.9812,15050,0.25
2014,4,Caatinga,108.9511,0.3781,83.6051,90.61,31.5425,400,108.0855,79.3616,206.002,0.3852,31.3748,92.5051,91.6709,475,0.25
2015,4,Mata Atlântica,104.7385,0.535,106.5331,91.95,30.645,1025,105.2242,104.1278,190.603,0.5463,29.3506,103.4688,93.5485,1175,0.86
2015,4,Cerrado,116.6306,0.5469,108.8859,216.52,30.1878,9675,115.952,103.341,184.9366,0.5588,29.6949,205.2948,219.079,8450,0.86
2015,4,Caatinga,88.4401,0.3482,74.7948,107.09,33.0225,0,87.6562,72.1091,203.955,0.3536,32.7141,103.9163,108.2415,0,0.86
2016,4,Mata Atlântica,106.074,0.4217,91.1215,33.95,32.0775,1525,105.8757,86.4544,198.9214,0.4346,30.8004,29.9615,34.6254,1475,1.11
2016,4,Cerrado,86.9912,0.3111,71.7632,9.49,33.1675,15675,82.9952,67.6719,212.6808,0.3182,33.4964,9.0179,9.7669,16025,1.11
2016,4,Caatinga,74.5405,0.2635,60.0239,9.83,32.9325,1150,69.8612,57.3143,216.2683,0.265,32.7325,9.3562,9.7942,1150,1.11
2017,4,Mata Atlântica,129.8028,0.5362,114.5805,102.68,28.7,0,130.338,109.6741,199.6676,0.5493,27.4576,92.4739,104.3455,0,0.32
2017,4,Cerrado,140.801,0.5039,113.1994,56.69,30.8125,5725,139.7765,105.9731,204.358,0.5186,31.228,54.6638,57.6654,6325,0.32
2017,4,Caatinga,100.5546,0.3227,72.0903,52.54,31.7525,300,99.9276,68.8532,209.9655,0.3279,31.7188,52.2301,52.4209,325,0.32
2018,4,Mata Atlântica,142.1788,0.5916,109.6123,114.8,27.1475,800,143.0091,112.5524,190.4263,0.5911,26.4443,108.4632,117.7922,800,-0.35
2018,4,Cerrado,147.4862,0.6068,121.0768,70.22,29.525,4275,146.6212,114.5274,184.1806,0.6218,29.4562,82.1247,71.4573,4400,-0.35
2018,4,Caatinga,133.6062,0.4456,91.7534,40.46,29.6725,325,132.9883,90.1162,199.7589,0.4511,29.8049,40.0055,40.5657,225,-0.35
2019,4,Mata Atlântica,137.7237,0.6102,128.3307,102.96,30.0025,375,138.1798,124.7727,203.9052,0.6119,28.5013,101.9846,104.3696,275,0.82
2019,4,Cerrado,144.7827,0.5659,122.8975,101.13,32.5,11000,143.2932,115.3192,198.8468,0.5799,29.5409,101.9262,101.6719,10700,0.82
2019,4,Caatinga,131.9038,0.4726,104.7013,80.47,32.5225,575,131.1571,100.6512,210.2103,0.4788,29.8982,71.4887,80.8901,625,0.82
2020,4,Mata Atlântica,138.2367,0.6429,129.1812,117.81,27.507,0,138.9033,126.3315,193.4033,0.6532,27.6888,171.032,179.5834,0,0.33
2020,4,Cerrado,135.7853,0.6354,126.9372,139.4,28.787,18575,135.8324,120.3409,183.9675,0.6541,29.3846,146.4507,140.0515,14575,0.33
2020,4,Caatinga,142.7156,0.5809,124.231,118.01,27.8539,250,142.6554,120.4036,201.3924,0.5979,28.3156,123.5859,117.8737,225,0.33
2001,5,Mata Atlântica,112.1725,0.6082,97.9127,109.85,27.7867,0,112.7375,99.1285,161.3049,0.6145,27.7659,104.4271,112.8335,0,-0.19
2001,5,Cerrado,49.8018,0.1978,43.9848,22.57,30.727,5650,49.6629,42.2946,209.7364,0.2017,30.7237,21.5345,22.997,6375,-0.19
2001,5,Caatinga,61.6095,0.2181,43.8693,20.86,32.8616,275,61.589,43.0266,197.5063,0.2178,32.8695,21.1668,20.7125,325,-0.19
2002,5,Mata Atlântica,133.2083,0.586,97.2557,86.96,26.2901,1425,134.161,98.3349,166.66,0.59,26.2843,87.9759,89.3098,1275,0.3
2002,5,Cerrado,48.2556,0.1705,38.5915,30.29,31.0781,16550,48.0834,36.9586,213.4331,0.1732,31.062,24.8787,30.5149,17425,0.3
2002,5,Caatinga,76.5227,0.2537,48.0266,31.8,30.6823,1125,76.4822,47.8945,194.972,0.2456,30.6678,30.593,31.4545,1150,0.3
2003,5,Mata Atlântica,119.434,0.6079,102.619,140.8877,27.9675,1400,120.1291,97.2725,155.785,0.6244,27.2669,149.4786,144.2063,1225,-0.18
2003,5,Cerrado,104.864,0.357,67.5021,26.1497,30.12,12125,104.8188,64.4375,174.7965,0.3686,29.9801,25.254,26.8441,11375,-0.18
2003,5,Caatinga,87.3562,0.3143,58.5073,51.56,31.605,600,87.225,56.4184,177.9595,0.317,31.0324,55.3861,51.3629,600,-0.18
2004,5,Mata Atlântica,133.3979,0.6571,110.4857,100.48,26.1575,0,134.1741,104.6126,157.6882,0.6634,25.4619,101.3337,102.6179,25,0.12
2004,5,Cerrado,129.1688,0.4667,90.7854,3.72,29.3675,19575,128.9386,85.8223,178.8957,0.4797,29.2327,2.7246,3.8539,19200,0.12
2004,5,Caatinga,119.7174,0.4194,83.1108,27.02,28.7025,750,119.4531,78.4904,183.0339,0.4288,28.1975,24.9028,26.68,950,0.12
2005,5,Mata Atlântica,137.6949,0.6521,113.2676,158.49,25.895,550,138.4025,106.5329,159.9334,0.6661,25.1194,156.5894,162.0444,550,0.27
2005,5,Cerrado,144.1535,0.5168,96.7676,50.17,27.6128,11275,143.8221,90.777,170.8024,0.5315,27.4559,45.8971,51.1635,12150,0.27
2005,5,Caatinga,136.0588,0.5006,92.5621,64.4,27.39,750,135.8446,89.7653,175.0539,0.5128,26.6068,64.8836,64.068,775,0.27
2006,5,Mata Atlântica,142.5229,0.6697,116.002,86.22,26.2075,0,143.2831,108.5501,158.5472,0.6847,25.8067,76.3559,88.6543,0,-0.19
2006,5,Cerrado,141.6278,0.5593,99.6477,43.34,28.105,8825,141.2273,93.6203,162.7474,0.5752,27.8304,34.5044,43.9468,8675,-0.19
2006,5,Caatinga,144.5753,0.5615,103.6023,42.73,27.7775,500,144.2658,99.1102,172.6414,0.5741,27.3807,31.8858,42.7148,625,-0.19
2007,5,Mata Atlântica,136.3136,0.6739,114.5752,57.65,26.6125,2200,137.1144,106.8445,163.1877,0.6547,26.1298,88.0056,59.1487,500,-0.34
2007,5,Cerrado,96.6767,0.2938,57.4377,10.98,31.0471,32675,96.2605,54.5797,200.3013,0.2725,31.0253,5.6807,11.0843,34300,-0.34
2007,5,Caatinga,95.4182,0.334,61.9692,15.49,31.005,1725,95.1666,59.5428,190.3766,0.3128,30.1928,24.4608,15.49,1425,-0.34
2008,5,Mata Atlântica,120.4909,0.5664,99.4305,33.62,27.4325,2100,121.1146,93.6742,159.4044,0.5877,26.696,54.3439,35.2403,2225,-0.85
2008,5,Cerrado,125.8175,0.4316,81.4013,11.07,29.2825,9525,125.177,76.6241,171.962,0.4456,29.2392,8.1076,11.3942,9275,-0.85
2008,5,Caatinga,126.2727,0.4574,85.7253,25.91,28.8425,350,125.7519,81.1131,171.7712,0.4722,28.4324,27.3537,26.0475,350,-0.85
2009,5,Mata Atlântica,131.3021,0.7044,112.851,131.3,25.7,0,131.9882,108.4675,151.6114,0.7154,25.1365,159.9475,134.5118,0,0.03
2009,5,Cerrado,134.1444,0.6336,104.2519,78.5,27.3775,13725,133.3124,98.1832,152.3528,0.6444,27.1569,67.4742,79.9388,12675,0.03
2009,5,Caatinga,130.6615,0.6113,99.6447,63.26,27.3725,2450,130.2421,99.0049,160.7751,0.6158,26.9196,59.3587,62.9299,2675,0.03
2010,5,Mata Atlântica,127.7028,0.638,114.907,56.09,27.42,0,128.4787,108.2271,164.452,0.6581,26.6567,61.9131,57.9869,0,-0.16
2010,5,Cerrado,123.2841,0.493,95.5945,25.42,30.595,10775,122.7961,90.1989,179.0888,0.5037,30.5262,20.7983,25.4569,11850,-0.16
2010,5,Caatinga,105.3272,0.3676,74.7619,12.94,30.8425,200,105.0909,70.7106,186.8224,0.3785,30.5124,16.7514,12.9042,200,-0.16
2011,5,Mata Atlântica,141.0111,0.6789,113.2635,71.12,25.3275,75,141.934,111.4917,161.5867,0.69,24.6144,65.2759,72.3043,150,-0.5
2011,5,Cerrado,145.4403,0.5632,102.2281,15.64,29.2775,21050,145.1403,95.7367,166.4653,0.5751,29.2168,13.0601,15.9912,20775,-0.5
2011,5,Caatinga,119.6309,0.444,77.1837,24.3,28.9375,625,119.5284,77.015,172.1229,0.4474,28.2327,30.9496,24.2337,650,-0.5
2012,5,Mata Atlântica,109.6644,0.5171,85.2216,81.97,28.2,575,110.2258,82.3394,155.4121,0.5298,27.4668,100.4135,84.4939,500,-0.18
2012,5,Cerrado,94.2707,0.3158,61.7045,21.19,31.29,32850,93.7216,58.626,182.5607,0.3211,30.9123,21.1439,21.3085,33050,-0.18
2012,5,Caatinga,54.2751,0.1621,31.3814,20.75,32.9133,2700,54.0043,30.5345,190.5126,0.1603,32.7633,20.4013,20.5314,2525,-0.18
2013,5,Mata Atlântica,133.0986,0.6111,112.3926,49.56,27.0725,2000,133.7872,105.263,167.01,0.6303,26.7575,53.0494,50.9288,1850,-0.3
2013,5,Cerrado,120.7658,0.4059,81.2044,9.77,31.3375,4675,120.1187,76.5786,184.4256,0.4152,31.2741,9.3559,9.9214,5300,-0.3
2013,5,Caatinga,85.3722,0.2807,53.04,15.44,32.005,275,84.9121,51.2355,181.1086,0.2829,31.4135,14.796,15.3461,125,-0.3
2014,5,Mata Atlântica,127.0025,0.5761,105.7208,65.85,27.4425,3525,127.5278,98.2098,164.9519,0.5954,27.2506,66.8282,67.1334,3250,0.35
2014,5,Cerrado,140.9309,0.5089,99.7584,19.86,29.8225,3900,139.6824,93.1582,179.4811,0.519,29.7971,20.3188,20.2116,4375,0.35
2014,5,Caatinga,110.2552,0.3462,68.3022,29.9,30.4475,225,109.266,64.7232,184.2479,0.3513,29.9248,30.6904,29.5383,225,0.35
2015,5,Mata Atlântica,121.0026,0.6481,102.6835,134.36,26.8775,2825,121.483,101.1064,153.839,0.6572,26.1329,140.6028,137.7207,3150,1.04
2015,5,Cerrado,143.1704,0.5534,104.8839,22.35,29.2975,6750,142.9887,98.3449,173.0543,0.5683,29.0579,22.7156,22.4425,7025,1.04
2015,5,Caatinga,107.581,0.3946,72.3203,43.31,30.29,1350,107.2067,70.3593,177.4032,0.3966,29.6518,44.2447,42.7766,1550,1.04
2016,5,Mata Atlântica,99.7671,0.4865,84.9908,58.88,30.65,3400,100.2105,80.4783,159.3375,0.5051,29.2782,58.2222,60.0521,3150,0.57
2016,5,Cerrado,69.3422,0.2395,49.4358,2.49,32.84,5500,69.1521,47.1372,192.1813,0.2453,32.8428,1.9022,2.5089,5475,0.57
2016,5,Caatinga,62.9337,0.2266,44.6692,23.93,32.315,0,62.6946,42.7608,187.2839,0.2283,32.1502,23.9215,23.7395,25,0.57
2017,5,Mata Atlântica,126.4993,0.6209,114.8933,93.53,27.2075,0,126.8522,107.1381,166.6171,0.643,26.2889,82.465,95.5191,0,0.35
2017,5,Cerrado,120.766,0.3795,78.5971,15.53,31.53,10675,120.3385,74.1308,189.8423,0.3905,31.5847,16.6721,15.6134,10375,0.35
2017,5,Caatinga,82.0971,0.2557,50.9468,27.23,32.6625,475,81.6005,48.7685,190.4555,0.2561,32.3009,28.4664,26.6462,500,0.35
2018,5,Mata Atlântica,138.5633,0.6382,112.9583,104.09,26.3125,0,139.3573,106.7449,163.3507,0.6535,25.5322,90.1394,106.0835,0,-0.07
2018,5,Cerrado,147.4493,0.4558,89.6508,3.71,30.5675,1575,146.6775,83.9937,179.1089,0.469,30.5082,3.3549,3.7535,1600,-0.07
2018,5,Caatinga,108.583,0.3237,62.1336,26.92,31.075,800,108.0424,59.8316,183.0038,0.3269,30.2372,24.692,26.3917,575,-0.07
2019,5,Mata Atlântica,126.2976,0.6486,124.7716,58.75,27.8375,1475,126.8781,115.9124,173.7901,0.667,27.3313,59.5384,61.1067,1750,0.71
2019,5,Cerrado,137.9319,0.4924,99.5508,35.67,30.91,6000,137.0799,92.9376,183.8433,0.5055,30.9301,29.9285,36.2935,5300,0.71
2019,5,Caatinga,105.4581,0.3582,71.9936,21.55,31.73,600,104.8418,67.7268,184.3736,0.3673,31.4539,23.9046,21.7546,750,0.71
2020,5,Mata Atlântica,133.649,0.71,118.0698,105.52,25.2283,0,134.2821,115.7955,161.0056,0.7192,25.4718,111.8918,107.3807,0,0.04
2020,5,Cerrado,145.4399,0.6143,113.4881,25.53,28.3633,11500,145.497,105.9568,167.6261,0.6321,28.3165,31.3285,25.4066,11325,0.04
2020,5,Caatinga,139.7726,0.5969,109.8841,48.39,26.8852,625,139.7319,107.9281,177.1691,0.6092,27.0989,47.2921,47.8367,550,0.04
2001,6,Mata Atlântica,127.6461,0.6489,71.2621,113.79,24.2104,0,128.5406,85.8443,142.1115,0.6041,,118.4099,115.3138,0,-0.08
2001,6,Cerrado,71.5369,0.1902,35.7193,1.46,29.4131,10875,71.355,35.9076,195.1987,0.184,,1.0726,1.4855,10500,-0.08
2001,6,Caatinga,76.5246,0.237,33.0466,38.9,29.456,3350,76.5573,36.7496,174.4009,0.2107,,36.0132,38.1148,3475,-0.08
2002,6,Mata Atlântica,120.7572,0.6221,79.0919,97.74,23.7208,0,121.4911,85.2178,140.0278,0.6086,23.7082,104.6665,99.4769,50,0.45
2002,6,Cerrado,60.1403,0.1589,32.4361,1.79,29.6406,20925,59.9388,31.1076,194.5282,0.1599,29.6377,0.8731,1.7976,22025,0.45
2002,6,Caatinga,76.0779,0.2468,36.7207,24.63,28.6059,325,76.0609,38.7574,171.9483,0.2254,28.5868,24.7741,24.0636,350,0.45
2003,6,Mata Atlântica,137.0808,0.5998,97.2216,71.1988,26.0625,1700,137.9318,91.5181,146.5286,0.6246,25.4407,71.2283,72.225,1800,-0.13
2003,6,Cerrado,95.0396,0.2453,47.2596,1.1875,29.76,19675,94.882,45.1929,180.4293,0.2505,29.7343,0.9756,1.2062,19725,-0.13
2003,6,Caatinga,92.4669,0.2676,45.9064,25.4,30.435,1150,92.4735,44.7737,170.2438,0.263,29.0674,22.9683,24.9213,1125,-0.13
2004,6,Mata Atlântica,133.3626,0.6692,98.4996,91.0,24.4875,0,133.9969,95.2982,141.2797,0.6745,23.7295,99.0175,93.3299,0,0.22
2004,6,Cerrado,111.8976,0.3591,63.9678,2.079,28.3825,16950,111.5966,60.7784,165.875,0.3664,28.2887,0.6196,2.0466,16825,0.22
2004,6,Caatinga,104.7571,0.3399,58.5787,19.75,28.3475,500,104.4621,56.3558,166.9746,0.3375,27.4903,21.1365,19.2996,575,0.22
2005,6,Mata Atlântica,134.6585,0.6821,104.5393,165.6,24.3325,0,135.3305,99.2331,142.5428,0.6962,23.9328,156.8031,169.2199,0,0.09
2005,6,Cerrado,125.1374,0.4181,74.9312,2.21,28.1414,16925,124.809,70.7962,165.0391,0.429,28.1057,1.0216,2.228,17675,0.09
2005,6,Caatinga,115.4485,0.392,68.3059,38.54,28.0875,2000,115.1956,65.7242,166.7744,0.3941,27.1074,37.2013,37.9776,2050,0.09
2006,6,Mata Atlântica,131.9209,0.6918,93.8542,122.46,24.73,0,132.6416,92.8424,132.688,0.6997,23.5036,166.0279,124.6237,0,-0.05
2006,6,Cerrado,147.145,0.4604,80.8551,2.34,27.31,12425,146.7362,75.9915,160.3533,0.4739,27.2423,1.7777,2.33,12500,-0.05
2006,6,Caatinga,132.0064,0.4428,70.9963,36.69,27.3725,575,131.6658,69.988,159.3316,0.4393,26.4226,42.1476,35.9527,625,-0.05
2007,6,Mata Atlântica,126.4576,0.567,92.4408,29.68,25.35,2200,127.1261,86.5026,142.2098,0.6083,24.7366,57.07,30.2137,2150,-0.41
2007,6,Cerrado,81.2682,0.2009,38.606,1.23,30.05,61300,80.9264,36.8417,188.819,0.1951,29.9421,0.524,1.2338,64425,-0.41
2007,6,Caatinga,88.3676,0.2585,44.0358,16.28,29.66,1725,88.073,42.0715,172.5961,0.2438,28.5972,19.1707,16.1216,2275,-0.41
2008,6,Mata Atlântica,125.1638,0.5821,92.3796,81.11,25.4725,1200,125.7794,86.8547,143.8642,0.6037,24.8247,113.5912,82.6447,825,-0.56
2008,6,Cerrado,115.0649,0.3052,57.7633,1.67,29.21,18425,114.6082,54.7982,174.4878,0.3141,29.1166,0.7173,1.6598,18550,-0.56
2008,6,Caatinga,111.4548,0.3248,57.6367,20.46,28.67,100,111.0879,54.9649,165.9082,0.3313,27.7525,24.286,20.1729,100,-0.56
2009,6,Mata Atlântica,134.4594,0.6782,104.1344,65.08,24.95,0,135.2724,98.6681,142.7919,0.691,24.431,85.2156,66.2985,0,0.34
2009,6,Cerrado,135.8706,0.5331,91.9015,26.55,28.045,11575,135.0779,85.9848,158.1292,0.5438,27.8879,24.2236,26.9119,11300,0.34
2009,6,Caatinga,128.7694,0.4647,80.2598,24.19,27.84,2625,128.3264,76.6769,162.6761,0.4713,26.9695,31.0996,24.4047,1825,0.34
2010,6,Mata Atlântica,132.278,0.6093,97.5957,30.41,26.1625,975,132.9334,91.0985,143.5969,0.6344,25.646,62.4625,31.7756,1050,-0.66
2010,6,Cerrado,122.3063,0.357,65.9847,0.5,29.7475,23675,121.9867,62.5446,172.1549,0.3633,29.7233,0.2151,0.5081,26300,-0.66
2010,6,Caatinga,95.4798,0.2901,50.3384,18.96,29.95,1425,95.3406,49.0656,169.8131,0.2889,29.3186,25.6248,18.7936,1525,-0.66
2011,6,Mata Atlântica,130.5881,0.6307,100.5836,37.92,25.3125,875,131.4035,93.3751,142.7904,0.6539,24.8255,37.2472,38.7054,1025,-0.34
2011,6,Cerrado,125.118,0.4309,76.745,0.87,29.6775,29425,124.9667,72.6541,164.5279,0.4416,29.6367,0.5328,0.8884,29025,-0.34
2011,6,Caatinga,99.4911,0.2959,52.8032,11.34,30.0325,225,99.4325,50.2122,167.2089,0.3003,29.5344,11.399,11.1298,250,-0.34
2012,6,Mata Atlântica,119.6093,0.5539,87.778,53.21,26.4075,2125,120.165,83.0792,145.3207,0.5717,25.2627,51.1741,54.1179,2000,0.03
2012,6,Cerrado,83.2645,0.2125,42.6268,1.48,31.4275,33325,82.8931,40.7269,189.3439,0.2151,31.4029,1.207,1.5249,32000,0.03
2012,6,Caatinga,59.6331,0.1621,28.2934,13.17,31.7067,125,59.4526,27.5956,173.8424,0.1587,31.1758,13.1297,12.8747,125,0.03
2013,6,Mata Atlântica,129.118,0.6393,101.4119,94.19,25.785,1725,129.7054,97.5161,148.5359,0.6565,24.9632,100.7702,96.0354,1125,-0.38
2013,6,Cerrado,98.0369,0.3272,61.1562,7.05,30.8475,17475,97.4625,58.0865,176.0175,0.33,30.7706,6.0693,7.1244,17425,-0.38
2013,6,Caatinga,77.1762,0.2314,40.6858,22.54,31.84,850,76.8217,39.6154,174.4422,0.2271,30.6349,24.7388,22.0742,125,-0.38
2014,6,Mata Atlântica,123.0385,0.6172,92.8232,100.21,25.76,725,123.614,90.199,142.573,0.6327,24.72,95.1142,102.4847,675,0.22
