tipo,bioma,variavel,fase,n,minimo,P10,Q1,mediana,media,Q3,P90,maximo,bigode_inf,bigode_sup,n_outliers,amplitude,IQR,desvio_padrao
bruto,Cerrado,BURN,La Niña,73,0.0,2005.0,5500.0,17500.0,118070.548,74600.0,411475.0,1146050.0,0.0,173075.0,13,1146050.0,69100.0,237909.929
bruto,Caatinga,NP,El Niño,76,28.47,40.674,58.828,79.862,79.724,102.742,112.976,157.51,28.47,157.51,0,129.04,43.914,28.268
bruto,Caatinga,NP,Neutro,148,34.4,54.499,68.516,82.535,87.221,104.379,130.669,167.623,34.4,150.754,1,133.224,35.863,27.911
bruto,Caatinga,NP,La Niña,73,34.694,55.453,75.474,94.503,93.697,111.284,130.932,147.568,34.694,147.568,0,112.874,35.81,27.792
bruto,Caatinga,EV,El Niño,76,20.538,27.347,33.406,59.621,58.978,77.572,98.451,114.262,20.538,114.262,0,93.724,44.166,26.402
bruto,Caatinga,EV,Neutro,148,21.089,27.314,34.031,51.171,55.977,72.649,96.37,130.917,21.089,125.937,1,109.828,38.618,26.288
bruto,Caatinga,EV,La Niña,73,21.13,31.452,43.427,69.234,68.927,92.254,103.758,112.677,21.13,112.677,0,91.547,48.827,26.713
bruto,Caatinga,PRE,El Niño,76,4.144,10.808,19.603,40.295,65.661,100.168,147.803,393.782,4.144,205.358,2,389.638,80.565,67.621
bruto,Caatinga,PRE,Neutro,148,2.844,12.325,16.695,25.547,45.917,52.768,101.518,367.232,2.844,102.664,14,364.388,36.073,53.176
bruto,Caatinga,PRE,La Niña,73,3.136,12.194,25.621,65.189,72.997,95.17,148.249,291.316,3.136,189.014,2,288.179,69.549,56.648
bruto,Caatinga,TST,El Niño,76,27.638,29.632,31.549,33.128,33.742,36.063,38.537,41.24,27.638,41.24,0,13.602,4.514,3.427
bruto,Caatinga,TST,Neutro,148,25.782,27.457,29.125,30.643,31.486,33.81,36.653,40.578,25.782,40.578,0,14.796,4.685,3.415
bruto,Caatinga,TST,La Niña,73,27.752,28.417,30.107,31.969,32.438,35.017,37.476,39.321,27.752,39.321,0,11.568,4.91,3.158
bruto,Caatinga,WAI,El Niño,76,0.083,0.113,0.146,0.294,0.277,0.362,0.458,0.546,0.083,0.546,0,0.462,0.216,0.128
bruto,Caatinga,WAI,Neutro,148,0.085,0.119,0.178,0.259,0.279,0.354,0.485,0.62,0.085,0.616,1,0.536,0.176,0.134
bruto,Caatinga,WAI,La Niña,73,0.08,0.14,0.225,0.323,0.327,0.446,0.496,0.559,0.08,0.559,0,0.479,0.221,0.132
bruto,Caatinga,BURN,El Niño,76,0.0,187.5,718.75,3237.5,18274.671,19443.75,43012.5,298950.0,0.0,44475.0,6,298950.0,18725.0,40942.191
bruto,Caatinga,BURN,Neutro,148,0.0,125.0,525.0,2000.0,10811.486,6637.5,28392.5,199750.0,0.0,13650.0,23,199750.0,6112.5,26989.436
bruto,Caatinga,BURN,La Niña,73,0.0,205.0,750.0,2500.0,28850.0,13475.0,125280.0,238025.0,0.0,32175.0,13,238025.0,12725.0,59609.074
anomalia,Mata Atlântica,NP,El Niño,76,-52.779,-27.174,-14.048,-3.541,-5.285,6.768,12.101,25.306,-41.125,25.306,1,78.084,20.816,16.472
anomalia,Mata Atlântica,NP,Neutro,148,-37.331,-13.744,-7.011,1.985,1.82,8.886,16.921,48.946,-29.426,32.335,5,86.278,15.897,13.009
anomalia,Mata Atlântica,NP,La Niña,73,-34.414,-15.907,-7.414,1.22,1.812,11.966,18.003,35.178,-34.414,35.178,0,69.592,19.38,13.799
anomalia,Mata Atlântica,EV,El Niño,76,-25.917,-18.608,-7.794,-0.459,-1.67,6.553,10.572,19.856,-25.917,19.856,0,45.773,14.347,10.755
anomalia,Mata Atlântica,EV,Neutro,148,-21.371,-9.626,-4.829,0.523,0.041,5.101,9.756,20.38,-17.957,19.724,4,41.752,9.929,7.932
anomalia,Mata Atlântica,EV,La Niña,73,-15.698,-7.641,-3.499,0.288,1.654,6.745,13.337,18.785,-15.698,18.785,0,34.483,10.245,7.8
anomalia,Mata Atlântica,PRE,El Niño,76,-112.041,-71.598,-44.229,-14.442,-4.89,25.638,74.297,171.103,-112.041,110.794,2,283.144,69.868,57.49
anomalia,Mata Atlântica,PRE,Neutro,148,-105.166,-45.128,-26.172,-2.351,0.854,21.872,50.534,177.279,-88.429,91.273,7,282.445,48.044,44.391
anomalia,Mata Atlântica,PRE,La Niña,73,-91.821,-48.899,-22.119,-6.545,3.359,23.743,54.16,269.781,-78.752,80.263,5,361.603,45.862,52.697
