feature,coef,bioma
EV_CA,32.375366368031266,CA
PRE_CA,-4.514693925163029,CA
TST_CA,-4.370966897382981,CA
saz_sin,-5.630782770513504,CA
saz_cos,-6.042091375399073,CA
EV_CA^2,-4.279975825382837,CA
EV_CA PRE_CA,-2.353654387235051,CA
EV_CA TST_CA,-5.071842686004377,CA
EV_CA saz_sin,3.5676251275995776,CA
EV_CA saz_cos,5.677554515571257,CA
PRE_CA^2,-0.47538334997257253,CA
PRE_CA TST_CA,-1.5980048925895944,CA
PRE_CA saz_sin,0.7832557883295526,CA
PRE_CA saz_cos,2.919163366551933,CA
TST_CA^2,-0.22525176370525543,CA
TST_CA saz_sin,4.199487727418474,CA
TST_CA saz_cos,5.021679928125197,CA
saz_sin^2,0.8920163527194735,CA
saz_sin saz_cos,1.6416790478083618,CA
saz_cos^2,-0.9608710853797877,CA
