feature,coef,bioma
EV_MA,11.123277016018392,MA
PRE_MA,-5.515073875631005,MA
TST_MA,-9.713784127165214,MA
saz_sin,-6.483331604127567,MA
saz_cos,4.0049406972622705,MA
EV_MA^2,0.69732201723334,MA
EV_MA PRE_MA,-0.7301714260940679,MA
EV_MA TST_MA,-3.2962972914921016,MA
EV_MA saz_sin,-0.29715732309467857,MA
EV_MA saz_cos,3.0222524941966276,MA
PRE_MA^2,-0.07633468117326217,MA
PRE_MA TST_MA,-0.24595676305279093,MA
PRE_MA saz_sin,0.3281139397876451,MA
PRE_MA saz_cos,-0.19095308885491605,MA
TST_MA^2,-2.5681458731616025,MA
TST_MA saz_sin,-1.2710834746486588,MA
TST_MA saz_cos,4.936754773714763,MA
saz_sin^2,3.578591800639448,MA
saz_sin saz_cos,5.755797199542474,MA
saz_cos^2,-3.5785918006393853,MA
