ano,mes,bioma,precip_mm
2005,7,Cerrado,1.0910
2005,7,Mata Atlântica,66.6377
2005,8,Caatinga,22.7059
2005,8,Cerrado,1.0656
2005,8,Mata Atlântica,67.8641
2005,9,Caatinga,10.6066
2005,9,Cerrado,32.5710
2005,9,Mata Atlântica,40.4895
2005,10,Caatinga,9.4578
2005,10,Cerrado,23.6205
2005,10,Mata Atlântica,15.1676
2005,11,Caatinga,99.4602
2005,11,Cerrado,207.0058
2005,11,Mata Atlântica,177.2963
2005,12,Caatinga,103.4282
2005,12,Cerrado,290.2062
2005,12,Mata Atlântica,141.2017
2006,1,Caatinga,10.8493
2006,1,Cerrado,56.1974
2006,1,Mata Atlântica,31.6367
2006,2,Caatinga,81.9974
2006,2,Cerrado,159.5360
2006,2,Mata Atlântica,35.9456
2006,3,Caatinga,205.3788
2006,3,Cerrado,312.9022
2006,3,Mata Atlântica,190.3418
2006,4,Caatinga,155.7680
2006,4,Cerrado,185.6549
2006,4,Mata Atlântica,182.6095
2006,5,Caatinga,42.7129
2006,5,Cerrado,43.9469
2006,5,Mata Atlântica,88.6481
2006,6,Caatinga,35.9490
2006,6,Cerrado,2.3295
2006,6,Mata Atlântica,124.6139
2006,7,Caatinga,16.9784
2006,7,Cerrado,0.3052
2006,7,Mata Atlântica,38.1899
2006,8,Caatinga,11.4568
2006,8,Cerrado,1.1477
2006,8,Mata Atlântica,40.3649
2006,9,Caatinga,17.8962
2006,9,Cerrado,25.8259
2006,9,Mata Atlântica,59.6283
2006,10,Caatinga,102.5218
2006,10,Cerrado,182.5198
2006,10,Mata Atlântica,139.5993
2006,11,Caatinga,121.3222
2006,11,Cerrado,164.7139
2006,11,Mata Atlântica,187.4143
2006,12,Caatinga,61.0572
2006,12,Cerrado,177.3867
2006,12,Mata Atlântica,113.1568
2007,1,Caatinga,28.4088
2007,1,Cerrado,81.6301
2007,1,Mata Atlântica,42.8589
2007,2,Caatinga,287.7574
2007,2,Cerrado,285.1927
2007,2,Mata Atlântica,273.3379
2007,3,Caatinga,34.3376
2007,3,Cerrado,45.2506
2007,3,Mata Atlântica,59.7563
2007,4,Caatinga,49.7497
2007,4,Cerrado,34.8087
2007,4,Mata Atlântica,106.8815
2007,5,Caatinga,15.4885
2007,5,Cerrado,11.0855
2007,5,Mata Atlântica,59.1449
2007,6,Caatinga,16.1201
